81.csv;0.2507;0.00694;0.0017399;0.37639;0.011267;41.0252;1.9332
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
82.csv;0.2508;0.00898;0.0022522;0.42746;0.013364;39.424;2.5024
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
83.csv;0.3007;0.00918;0.0027604;0.46551;0.014813;40.0326;3.0671
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
84.csv;0.3007;0.01066;0.0032055;0.47924;0.016392;40.805;3.5616
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
85.csv;0.3011;0.01096;0.0033001;0.47815;0.016695;41.3413;3.6667
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
86.csv;0.3007;0.01126;0.0033859;0.47994;0.01696;41.5963;3.7621
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
87.csv;0.3008;0.01154;0.0034712;0.48576;0.016839;42.4362;3.8569
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
88.csv;0.3007;0.01182;0.0035543;0.49051;0.017039;42.5274;3.9492
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
89.csv;0.3009;0.0114;0.0034303;0.49453;0.01685;41.165;3.8114
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
90.csv;0.3013;0.01342;0.0040434;0.50976;0.017078;46.447;4.4927
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
91.csv;0.3511;0.0111;0.0038972;0.50144;0.015149;51.3042;4.3302
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
92.csv;0.3007;0.01078;0.0032415;0.46963;0.013516;51.0693;3.6017
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
93.csv;0.2005;0.0045;0.00090225;0.29586;0.0084631;36.034;1.0025
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
94.csv;0.2007;0.00648;0.0013005;0.31659;0.010178;40.3603;1.445
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
95.csv;0.2505;0.00806;0.002019;0.39845;0.011766;43.0671;2.2434
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
96.csv;0.3009;0.00858;0.0025817;0.45268;0.014088;40.4834;2.8686
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
97.csv;0.3009;0.0106;0.0031895;0.48077;0.015699;42.2596;3.5439
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
98.csv;0.3007;0.01144;0.00344;0.48562;0.016726;42.3517;3.8222
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
99.csv;0.3005;0.0114;0.0034257;0.48122;0.016785;42.4107;3.8063
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
100.csv;0.3007;0.01174;0.0035302;0.48251;0.016983;43.0813;3.9225
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
101.csv;0.3009;0.012;0.0036108;0.48854;0.016946;43.614;4.012
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
102.csv;0.3012;0.01224;0.0036867;0.49191;0.016965;44.1787;4.0963
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
103.csv;0.301;0.01274;0.0038347;0.49493;0.017526;44.2097;4.2608
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
104.csv;0.301;0.01302;0.003919;0.51204;0.017086;44.7956;4.3545
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
105.csv;0.3511;0.01126;0.0039534;0.50808;0.014969;51.9797;4.3927
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
106.csv;0.3008;0.01092;0.0032847;0.4763;0.013249;52.051;3.6497
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
107.csv;0.2003;0.0054;0.0010816;0.2962;0.0092442;39.5017;1.2018
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
108.csv;0.2011;0.00684;0.0013755;0.32224;0.010449;40.8511;1.5284
